,Argument,Debate,Scheme,id,prediction_w_evidence,p_True_w_evidence,p__True_w_evidence,p_False_w_evidence,p__False_w_evidence,p_None_w_evidence,p__None_w_evidence,p_Support_w_evidence,p__Support_w_evidence,p_Refute_w_evidence,p__Refute_w_evidence,targeted_jaccard_sim,prediction_wo_evidence,p_True_wo_evidence,p__True_wo_evidence,p_False_wo_evidence,p__False_wo_evidence,p_None_wo_evidence,p__None_wo_evidence,p_Support_wo_evidence,p__Support_wo_evidence,p_Refute_wo_evidence,p__Refute_wo_evidence,evidence_stance,diff_p_None_scaled,diff_p_True_scaled,diff_p_False_scaled
0,Euthanasia can end unnecessary suffering.,Should euthanasia be legalized?,2,1,None. I am not sure if euthanasia,0.0001719443826004,0.2328404039144516,6.839474372100085e-05,0.1066021025180816,0.000131834327476,0.3606302738189697,1.7766971893706798e-07,3.218143683625385e-05,2.1098800573327026e-07,5.203198088565841e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.2566711276645166,-0.6570100592806067,-0.3440145677425611
1,"In situations of great chronic pain, euthanasia should be an option for patients.",Should euthanasia be legalized?,0,2,True. (Note: This is a moral and,0.0003074696287512,0.3850732445716858,7.896473107393831e-05,0.1077696457505226,9.018055425258352e-05,0.2126576453447342,2.4359491135328426e-07,3.15329380100593e-05,3.455426167420228e-07,6.054436380509287e-05,0.75,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.4915299301590091,-0.3866680135548515,-0.24263605025067808
2,Chronic pain changes a person's psychological state to the point where their decision process is so impaired that they cannot make a rational decision on euthanasia.,Should euthanasia be legalized?,3,3,False. The argument is against legalizing euthanas,7.779242150718346e-05,0.1095398813486099,0.0001986499119084,0.3944682776927948,0.0001223846629727,0.31696417927742,5.7055576263564944e-08,1.1608066415647045e-05,1.9663131922698085e-07,5.101751230540685e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.3099517002867373,-0.8448218101827955,9.4397158587054e-05
3,Less than 33% of patients requesting euthanaisa experience inadequate pain control.,Should euthanasia be legalized?,4,4,None. I am not sure about the relationship between,0.00010169732559,0.1159672886133194,0.0001326383207924,0.197267010807991,0.0002169817889807,0.4959292113780975,6.582388323295163e-08,1.101595535146771e-05,1.589864240258976e-07,3.041602758457884e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,insufficient-neutral,3.963215612821398e-05,-0.7971369628486265,2.8378684213570545e-05
4,"Some doctors have argued that patients suffering from ""treatement-resistant"" depression should be allowed to elect for euthanasia.",Should euthanasia be legalized?,4,5,None. (I am not sure if euthanas,0.0001639764086576,0.2152187377214431,8.845864067552611e-05,0.1650139242410659,0.0001576945796841,0.4084133803844452,1.4267979508986173e-07,2.1175557776587084e-05,3.134727251108416e-07,7.107851706678048e-05,0.75,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.11086181926828279,-0.6729043552672689,-0.1515783745436729
5,"Much of the suffering of those who request euthanasia, can be relieved simply with better palliative care.",Should euthanasia be legalized?,6,6,None. I am not sure if euthanasia,5.688977762474679e-05,0.0782511010766029,0.0001441426138626,0.2817930281162262,0.0001595513167558,0.4433226883411407,6.239226735260672e-08,1.3199490240367597e-05,2.3940768301145e-07,5.869565575267188e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.10039287464548345,-0.8865178311733577,3.988417687629709e-05
6,To let someone suffer until death is just as bad as murder.,Should euthanasia be legalized?,7,7,None. (The question is not directly related to,7.427127275150269e-05,0.1037678867578506,0.0001823926577344,0.3272073268890381,0.0001303501485381,0.3537954688072204,7.727074802232893e-08,1.2558283742691856e-05,2.363891837831034e-07,4.832924241782166e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.26503945689541536,-0.8518457011916798,7.813820921279355e-05
7,It could be considered to be worse than murder since it is torturing for a long time when murder stops life and automatically with it all pain and any more suffering.,Should euthanasia be legalized?,1,8,False. (The argument is not about whether euth,0.0001290692453039,0.1554530560970306,0.000284124223981,0.4095642566680908,0.0001406516967108,0.2685987949371338,4.4195022752546726e-08,5.670907285093563e-06,1.7496549276074805e-07,3.187785478075966e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.2069556608680358,-0.7425362077785116,0.00017988038336253344
8,"The people most likely to be considered as candidates for euthanasia are those least likely to be able to speak for themselves (e.g. dementia, brain damage, neurodegenerative disorders).",Should euthanasia be legalized?,0,9,None. I am not sure. I am not,0.0001045143144438,0.1448854953050613,0.0001439745537936,0.2582863271236419,0.000147388811456,0.3877336978912353,4.449427848385312e-08,7.600623575854115e-06,1.8990661487805482e-07,4.495104440138675e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.16896940947037953,-0.7915177107081393,3.971609928309099e-05
9,Safeguards would likely be put in place.,Should euthanasia be legalized?,3,10,None. I am not sure that safeguards would be,0.0001155607315013,0.1947522759437561,0.0001415879669366,0.3063883483409881,0.0001035879686241,0.3312847912311554,5.419086690494623e-08,1.2864656127931084e-05,2.1453845988617107e-07,6.282927643042058e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.4159341547906537,-0.7694826207888666,3.732926356840454e-05
