,Argument,Debate,Scheme,id,evidence_stance_x,prediction_w_evidence,p_True_w_evidence,p__True_w_evidence,p_False_w_evidence,p__False_w_evidence,p_None_w_evidence,p__None_w_evidence,p_Support_w_evidence,p__Support_w_evidence,p_Refute_w_evidence,p__Refute_w_evidence,targeted_jaccard_sim,evidence_stance_y,prediction_wo_evidence,p_True_wo_evidence,p__True_wo_evidence,p_False_wo_evidence,p__False_wo_evidence,p_None_wo_evidence,p__None_wo_evidence,p_Support_wo_evidence,p__Support_wo_evidence,p_Refute_wo_evidence,p__Refute_wo_evidence,diff_p_None_scaled,diff_p_True_scaled,diff_p_False_scaled
0,Euthanasia can end unnecessary suffering.,Should euthanasia be legalized?,2,1,supports,"True

Argument: ""Euthanasia",0.953533172607422,0.953533172607422,0.0026367555838078,0.0026367555838078,0.0236854683607816,0.0236854683607816,4.37021185462072e-07,4.37021185462072e-07,3.811766475791956e-07,3.811766475791956e-07,0.25,supports,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,-0.7239356640942142,0.683718341264204,-0.9364463810914798
1,"In situations of great chronic pain, euthanasia should be an option for patients.",Should euthanasia be legalized?,0,2,supports,"True

Argument: ""The government should not",0.9228702187538148,0.9228702187538148,0.0011867739958688,0.0011867739958688,0.0516596026718616,0.0516596026718616,7.614211767759116e-07,7.614211767759116e-07,9.700758027975098e-07,9.700758027975098e-07,0.75,supports,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,-0.3978850792590525,0.4750075156977679,-0.9713952318041302
2,Chronic pain changes a person's psychological state to the point where their decision process is so impaired that they cannot make a rational decision on euthanasia.,Should euthanasia be legalized?,3,3,refutes,"None

The argument provided does not directly address",0.127838134765625,0.127838134765625,0.0143430409952998,0.0143430409952998,0.8467367887496948,0.8467367887496948,2.6412743636683444e-07,2.6412743636683444e-07,7.494955980291707e-07,7.494955980291707e-07,0.25,refutes,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.8323532114864616,-0.8501459052044122,-0.6542902319037959
3,Less than 33% of patients requesting euthanaisa experience inadequate pain control.,Should euthanasia be legalized?,4,4,insufficient-neutral,"None

Argument: ""Less than",0.311110109090805,0.311110109090805,0.041451409459114,0.041451409459114,0.6187163591384888,0.6187163591384888,5.045294528827071e-07,5.045294528827071e-07,1.3396835356616066e-06,1.3396835356616066e-06,0.0,insufficient-neutral,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.5829333250835532,-0.6353112952951554,-0.0008982644568136552
4,"Some doctors have argued that patients suffering from ""treatement-resistant"" depression should be allowed to elect for euthanasia.",Should euthanasia be legalized?,4,5,supports,"True

Argument: ""The government should not",0.6769492030143738,0.6769492030143738,0.0045612477697432,0.0045612477697432,0.2911522388458252,0.2911522388458252,9.244514558304218e-07,9.244514558304218e-07,1.548164959785936e-06,1.548164959785936e-06,0.75,supports,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.22462768636349748,-0.20646831850059827,-0.8900604195983274
5,"Much of the suffering of those who request euthanasia, can be relieved simply with better palliative care.",Should euthanasia be legalized?,6,6,refutes,"True

Argument: ""Much of the",0.5337991714477539,0.5337991714477539,0.0716796740889549,0.0716796740889549,0.3446466624736786,0.3446466624736786,1.1158873576277983e-06,1.1158873576277983e-06,1.5953160072967876e-06,1.5953160072967876e-06,0.5,refutes,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.2831425005281688,-0.37427128621210665,0.03149779883610953
6,To let someone suffer until death is just as bad as murder.,Should euthanasia be legalized?,7,7,supports,"True

Argument: ""The government should not",0.912347674369812,0.912347674369812,0.0104569951072335,0.0104569951072335,0.0472325682640075,0.0472325682640075,5.306537786964327e-07,5.306537786964327e-07,8.4138332567818e-07,8.4138332567818e-07,0.0,supports,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,-0.4494840721613814,0.4033846402262864,-0.7479554471963447
7,It could be considered to be worse than murder since it is torturing for a long time when murder stops life and automatically with it all pain and any more suffering.,Should euthanasia be legalized?,1,8,refutes,"True

In this context, the argument suggests",0.6986506581306458,0.6986506581306458,0.1794283390045166,0.1794283390045166,0.0902222320437431,0.0902222320437431,4.911220798931026e-07,4.911220798931026e-07,4.09547141089206e-07,4.09547141089206e-07,0.25,refutes,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.004840627997881815,-0.18102949370736862,0.1439103101540957
8,"The people most likely to be considered as candidates for euthanasia are those least likely to be able to speak for themselves (e.g. dementia, brain damage, neurodegenerative disorders).",Should euthanasia be legalized?,0,9,refutes,"True

In this scenario, the argument suggests",0.4743789434432983,0.4743789434432983,0.0798984542489051,0.0798984542489051,0.4186379313468933,0.4186379313468933,5.256451345303503e-07,5.256451345303503e-07,9.839543508860515e-07,9.839543508860515e-07,0.5,refutes,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.3640777654455773,-0.44392471549969875,0.04007232473371077
9,Safeguards would likely be put in place.,Should euthanasia be legalized?,3,10,supports,"True

Argument: ""It would be a",0.6166481971740723,0.6166481971740723,0.1233373954892158,0.1233373954892158,0.2377390563488006,0.2377390563488006,6.160961447676527e-07,6.160961447676527e-07,7.548567850790278e-07,7.548567850790278e-07,0.25,supports,"True
Question: Is it ethical to clone humans",0.8530840277671814,0.8530840277671814,0.0414886772632598,0.0414886772632598,0.0857969149947166,0.0857969149947166,1.668513078811884e-07,1.668513078811884e-07,5.030142915529723e-07,5.030142915529723e-07,0.16620173771696026,-0.27715421095380743,0.08539149855033704
