id,claim,evidence,evidence_stance,relevant,factcheck_verdict,claim_id,implicit_rate_ner,flesch_reading_ease_score,uncertain_discourse_markers,uncertain_hedge_terms,uncertain_boosters_preceeded_by_negation,claim_evidence_jaccard_sim,claim_repeated_in_evidence,evidence_length,claim_length,ppl_Llama,ppl_Pythia,p_True_claim_prompt,p__True_claim_prompt,p_False_claim_prompt,p__False_claim_prompt,p_None_claim_prompt,p__None_claim_prompt,p_Support_claim_prompt,p__Support_claim_prompt,p_Refute_claim_prompt,p__Refute_claim_prompt,p_True_evidence_prompt,p__True_evidence_prompt,p_False_evidence_prompt,p__False_evidence_prompt,p_None_evidence_prompt,p__None_evidence_prompt,p_Support_evidence_prompt,p__Support_evidence_prompt,p_Refute_evidence_prompt,p__Refute_evidence_prompt,claim_source,factcheck_verdict_num,prediction_wo_evidence_claim_prompt_stance,prediction_wo_evidence_claim_prompt_stance_num,prediction_w_evidence_evidence_prompt_stance,prediction_w_evidence_evidence_prompt_stance_num,p_True_wo_evidence,p_False_wo_evidence,p_None_wo_evidence,p_True_w_evidence,p_False_w_evidence,p_None_w_evidence,dataset,model,evidence_source,refers_external_source_cohere,claimant,claim_date,evidence_date,evidence_published_after_claim,is_gold,text,is_factcheck_article,unreliable_mbfc,evidence_contains_true,evidence_contains_false,claim_published_before_train,targeted_jaccard_sim,diff_p_None_scaled,diff_p_True_scaled,diff_p_False_scaled,memory_conflict,pred_aligned_w_evidence,pred_aligned_wo_evidence,pred_switched,pred_switched_to_align
factly_1779_ret_bn_g0_Llama,A Congress MLA misbehaved with the police when he was stopped by the police while chanting ‘Pakistan Zindabad’ slogans as part of a Rahul Gandhi’s program in Madhya Pradesh,"The video that has been debunked below earlier is now being shared again with a claim that Congress MLA from Karnataka had misbehaved with the police when he was stopped while chanting ‘Pakistan Zindabad’ slogans. However, as explained below, the incident took place in Shaheen Bhag, Delhi, in November 2022. Also, the police arrested former Congress MLA Asif Mohammad Khan for misbehaving with police officers on confronting him for holding a meeting without permission. Neither the FIR filed by the police nor the news reports on the incident mentioned that Asif had raised slogans of ‘Pakistan Zindabad’. [...] A video of a few persons wearing Congress scarves arguing with the police is viral on social media, claiming that an MLA of Congress raised the Pakistan Zindabad slogan during Rahul Gandhi’s program in Madhya Pradesh. Let’s understand the facts behind this claim through this article. [...] Fact: This incident took place in Shaheen Bhag, Delhi, in November 2022 and not in Madhya Pradesh during a program of Rahul Gandhi. The police arrested former Congress MLA Asif Mohammad Khan for misbehaving with police officers on confronting him for holding a meeting without permission. The Shaheen Bhag police registered a case against him. But as stated in the post, neither in the FIR filed by the police nor in the news reports on the incident was it mentioned that Asif had raised slogans of ‘Pakistan Zindabad’. So, the claim made in the post is False.",refutes,True,False,factly_1779,0.1999999999999999,57.81,True,True,False,0.2432432432432432,False,1465,172,6.569796562194824,7.44048547744751,,,,,,,,,,,3.677834570225969e-08,0.0002635222044773,4.691909794019012e-07,0.0035486011765897,1.607661397429183e-05,0.2040357142686844,4.742124019685434e-06,0.0257080886512994,5.603359022643417e-05,0.7520331144332886,factly,1.0,refutes,1.0,refutes,1.0,0.2079138308763504,0.5350508689880371,0.2460505217313766,0.0257080886512994,0.7520331144332886,0.2040357142686844,DRUID,Llama,https://factly.in/the-video-does-not-show-congress-mla-asif-khan-arguing-with-the-police-in-madhya-pradesh-during-rahul-gandhis-yatra/,False,SOCIAL MEDIA POST,2023-06-21,2023-10-18,True,False,"<b> Claimant: </b> SOCIAL MEDIA POST <br> <b> Claim date: </b> 2023-06-21 <br> <b> Claim: </b> A Congress MLA misbehaved with the police when he was stopped by the police while chanting ‘Pakistan Zindabad’ slogans as part of a Rahul Gandhi’s program in Madhya Pradesh <br> <b> Evidence date: </b> 2023-10-18 <br> <b> Evidence: </b> The video that has been debunked below earlier is now being shared again with a claim that Congress MLA from Karnataka had misbehaved with the police when he was stopped while chanting ‘Pakistan Zindabad’ slogans. However, as explained below, the incident took place in Shaheen Bhag, Delhi, in November 2022. Also, the police arrested former Congress MLA Asif Mohammad Khan for misbehaving with police officers on confronting him for holding a meeting without permission. Neither the FIR filed by the police nor the news reports on the incident mentioned that Asif had raised slogans of ‘Pakistan Zindabad’. <br> <br> A video of a few persons wearing Congress scarves arguing with the police is viral on social media, claiming that an MLA of Congress raised the Pakistan Zindabad slogan during Rahul Gandhi’s program in Madhya Pradesh. Let’s understand the facts behind this claim through this article. <br> <br> Fact: This incident took place in Shaheen Bhag, Delhi, in November 2022 and not in Madhya Pradesh during a program of Rahul Gandhi. The police arrested former Congress MLA Asif Mohammad Khan for misbehaving with police officers on confronting him for holding a meeting without permission. The Shaheen Bhag police registered a case against him. But as stated in the post, neither in the FIR filed by the police nor in the news reports on the incident was it mentioned that Asif had raised slogans of ‘Pakistan Zindabad’. So, the claim made in the post is False.",True,False,False,True,True,0.9642857142857144,-0.1707568314305851,-0.8763521957969771,0.4666795375506759,False,True,True,False,0.0
factly_3007_ret_bn_g1_Llama,Bio-toilets are introduced in train coaches only after 2014,"A social media post claims that, earlier governments have ignored the issue of cleanliness of railway toilets, and it is only during the current government after 2014, that the issue is acknowledged, and railway coaches were equipped with bio-toilets. The post compares an image of a railway tract filled with litter with that of an image showing a clean track, as a symbolic representation. Through this article let’s fact-check the claim made in the post. [...] It is true that the equipping of rail coaches with bio-toilets has increased after 2014. However, it is not the current government which introduced these bio-toilets, but the previous government. It is during the previous Congress led UPA regime (2009-14), Indian Railways introduced these bio-toilets. [...] 4356 train coaches equipped with bio-toilets by June 2014:",refutes,True,False,factly_3007,0.0,61.26,True,False,False,0.1038961038961039,False,831,59,10.708887100219728,14.151620864868164,,,,,,,,,,,5.006978653909756e-08,0.0003114512655884,4.965714310856129e-07,0.0041864030063152,1.796493052097503e-05,0.2316151261329651,1.4683692825201431e-05,0.0689555704593658,5.9355352277634665e-05,0.6693459153175354,factly,1.0,refutes,1.0,refutes,1.0,0.3540274798870086,0.4099692106246948,0.2254485636949539,0.0689555704593658,0.6693459153175354,0.2316151261329651,DRUID,Llama,https://factly.in/bio-toilets-in-railways-were-introduced-by-the-congress-government-in-2010/,True,SOCIAL MEDIA POST,2023-03-28,2023-04-03,True,False,"<b> Claimant: </b> SOCIAL MEDIA POST <br> <b> Claim date: </b> 2023-03-28 <br> <b> Claim: </b> Bio-toilets are introduced in train coaches only after 2014 <br> <b> Evidence date: </b> 2023-04-03 <br> <b> Evidence: </b> A social media post claims that, earlier governments have ignored the issue of cleanliness of railway toilets, and it is only during the current government after 2014, that the issue is acknowledged, and railway coaches were equipped with bio-toilets. The post compares an image of a railway tract filled with litter with that of an image showing a clean track, as a symbolic representation. Through this article let’s fact-check the claim made in the post. <br> <br> It is true that the equipping of rail coaches with bio-toilets has increased after 2014. However, it is not the current government which introduced these bio-toilets, but the previous government. It is during the previous Congress led UPA regime (2009-14), Indian Railways introduced these bio-toilets. <br> <br> 4356 train coaches equipped with bio-toilets by June 2014:",True,False,True,False,True,0.8888888888888888,0.0079614627886153,-0.8052253726705801,0.4395985927572619,False,True,True,False,0.0
borderlines-294_ret_b11_gn_Llama,Veliki Školj is a territory of Bosnia and Herzegovina,"Veliki Skolj (Veliki Školj) is a island (class T - Hypsographic) in Federation of Bosnia and Herzegovina, Bosnia And Herzegovina (Europe) with the region font code of Eastern Europe... [...] Veliki Skolj (Federation of Bosnia and Herzegovina) 7 day forecast Map and Photos Veliki Skolj",refutes,True,Bosnia and Herzegovina,borderlines-294,0.0,41.19,False,False,False,0.2758620689655172,False,285,53,8.686574935913086,28.946531295776367,,,,,,,,,,,3.750925348100509e-09,3.483553518890403e-05,3.7332977598225625e-08,0.0004207676392979,2.311599200766068e-05,0.4858134984970093,3.1788975320523605e-05,0.3392087519168854,1.2279702787054704e-05,0.1632201373577118,borderlines,,refutes,1.0,insufficient-neutral,3.0,0.3551326692104339,0.4050045311450958,0.2298921346664428,0.3392087519168854,0.1632201373577118,0.4858134984970093,DRUID,Llama,https://www.getamap.net/maps/bosnia_and_herzegovina/federation_of_bosnia_and_herzegovina/_velikiskolj/,False,Veliki Školj,2024-10-09,2024-10-01,True,False,"<b> Claimant: </b> Veliki Školj <br> <b> Claim date: </b> 2024-10-09 <br> <b> Claim: </b> Veliki Školj is a territory of Bosnia and Herzegovina <br> <b> Evidence date: </b> 2024-10-01 <br> <b> Evidence: </b> Veliki Skolj (Veliki Školj) is a island (class T - Hypsographic) in Federation of Bosnia and Herzegovina, Bosnia And Herzegovina (Europe) with the region font code of Eastern Europe... <br> <br> Veliki Skolj (Federation of Bosnia and Herzegovina) 7 day forecast Map and Photos Veliki Skolj",False,,False,False,True,0.8888888888888888,0.3323188547356533,-0.0448393478666779,-0.5969918240266873,False,False,True,True,-1.0
checkyourfact_1409_Llama,"claims that comedian Groucho Marx once stated, ""Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies.""",The Daily Caller News Foundation found no evidence that Marx made this statement.,refutes,True,False,checkyourfact_1409,1.0,66.74,True,False,False,0.088235294117647,False,81,174,53.51067733764648,38.91038131713867,2.2627176804235205e-05,0.456138402223587,1.3160658454580698e-05,0.354768306016922,5.131688340043183e-06,0.1761658787727356,,,,,7.49111777054168e-08,0.0003862858575303,6.997554891086112e-08,0.0004348363436292,7.569070021418156e-06,0.0728481262922287,9.721115930005908e-07,0.0028713105712085,8.426543354289606e-05,0.9180722832679749,checkyourfact,1.0,supports,5.0,refutes,1.0,0.456138402223587,0.354768306016922,0.1761658787727356,0.0028713105712085,0.9180722832679749,0.0728481262922287,DRUID,Llama,https://checkyourfact.com/2019/09/20/fact-check-groucho-marx-politics-trouble-remedies/,True,Viral Quote,2019-09-17,2019-09-17,True,True,"<b> Claimant: </b> Viral Quote <br> <b> Claim date: </b> 2019-09-17 <br> <b> Claim: </b> claims that comedian Groucho Marx once stated, ""Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies."" <br> <b> Evidence date: </b> 2019-09-17 <br> <b> Evidence: </b> The Daily Caller News Foundation found no evidence that Marx made this statement.",True,False,False,False,True,0.125,-0.5864799313026611,-0.9937051768559468,0.8730258952000988,True,True,False,True,1.0
sciencefeedback_55_ret_bn_g5_Llama,Colloidal silver is effective for any infection,"Colloidal silver does not treat infections when taken orally and can cause side effects [...] This claim was published in a Jan. 2020 blog post promoting the sale of colloidal silver products. The post went viral on Facebook in the same month, receiving more than 11,000 interactions on the platform within a week of publication. The article claims that colloidal silver effectively fights against any bacterial, fungal, or viral infection, calling it ""a modern and fabulously effective treatment with virtually no side effects"". [...] However, effective applications of silver as a medicine have been limited to topical treatments (such as application of a cream containing silver directly to a wound). There is no evidence that consuming or nasally spraying colloidal silver treats ""any infection"", as the claim states, or ""supports the immune system"". According to the U.S. National Institutes of Health, consuming colloidal silver or using it as a nasal spray can even cause health problems such as argyria, which is an irreversible blue-gray skin discoloration[9]. A 2018 review estimated that 70 – 1500 mg silver/kg body weight could induce argyria[10]. Colloidal silver can also interfere with the action of other drugs, such as thyroxine which is used to treat thyroid deficiency.",refutes,True,False,sciencefeedback_55,,53.1,True,True,False,0.0451127819548872,False,1288,47,9.410282135009766,11.610817909240724,,,,,,,,,,,3.604257337030958e-09,1.1802088010881562e-05,4.648821771979783e-08,0.0002522750291973,1.0881804882956205e-05,0.0714378878474235,1.476973466196796e-06,0.0052508255466818,0.0001033897060551,0.9164522290229796,sciencefeedback,1.0,refutes,1.0,refutes,1.0,0.1007260829210281,0.5941057205200195,0.2950988113880157,0.0052508255466818,0.9164522290229796,0.0714378878474235,DRUID,Llama,https://science.feedback.org/review/colloidal-silver-does-not-treat-infections-when-taken-orally-and-can-cause-side-effects/,True,Anonymous,2020-01-23,2020-01-23,True,False,"<b> Claimant: </b> Anonymous <br> <b> Claim date: </b> 2020-01-23 <br> <b> Claim: </b> Colloidal silver is effective for any infection <br> <b> Evidence date: </b> 2020-01-23 <br> <b> Evidence: </b> Colloidal silver does not treat infections when taken orally and can cause side effects <br> <br> This claim was published in a Jan. 2020 blog post promoting the sale of colloidal silver products. The post went viral on Facebook in the same month, receiving more than 11,000 interactions on the platform within a week of publication. The article claims that colloidal silver effectively fights against any bacterial, fungal, or viral infection, calling it ""a modern and fabulously effective treatment with virtually no side effects"". <br> <br> However, effective applications of silver as a medicine have been limited to topical treatments (such as application of a cream containing silver directly to a wound). There is no evidence that consuming or nasally spraying colloidal silver treats ""any infection"", as the claim states, or ""supports the immune system"". According to the U.S. National Institutes of Health, consuming colloidal silver or using it as a nasal spray can even cause health problems such as argyria, which is an irreversible blue-gray skin discoloration[9]. A 2018 review estimated that 70 – 1500 mg silver/kg body weight could induce argyria[10]. Colloidal silver can also interfere with the action of other drugs, such as thyroxine which is used to treat thyroid deficiency.",True,False,False,False,True,0.8571428571428571,-0.7579187543609175,-0.947870249746547,0.7941637140487438,False,True,True,False,0.0
factly_3078_Llama,The colour markers printed on toothpaste represents the type of ingredient used in it,"The colour markers on the toothpaste are not an indication of the ingredients or the formula of the toothpaste. These colour markers help during the manufacturing of toothpaste. Light beam sensors scan this colour code (markers) and feed the machines instructions where to cut, fold, and seal the toothpaste packet. These colour markers have nothing to do with the raw ingredients of the toothpaste. Hence, the claim made in the post is False.",refutes,True,False,factly_3078,,73.58,True,False,False,0.1372549019607842,False,443,85,16.83197593688965,19.108304977416992,9.717933426145464e-05,0.3385730981826782,8.343687659362331e-05,0.4158923923969269,4.024333247798495e-05,0.2350193411111831,,,,,1.249138676939765e-07,0.000329387927195,1.0075045793200843e-06,0.0027257667388767,2.848094663931988e-05,0.0996242389082908,6.992640919634141e-06,0.0125351315364241,0.0002075968077406,0.8751625418663025,factly,1.0,refutes,1.0,refutes,1.0,0.3385730981826782,0.4158923923969269,0.2350193411111831,0.0125351315364241,0.8751625418663025,0.0996242389082908,DRUID,Llama,https://factly.in/the-coloured-markers-on-toothpaste-do-not-represent-its-ingredients/,False,SOCIAL MEDIA POST,2023-07-05,2023-07-05,True,True,"<b> Claimant: </b> SOCIAL MEDIA POST <br> <b> Claim date: </b> 2023-07-05 <br> <b> Claim: </b> The colour markers printed on toothpaste represents the type of ingredient used in it <br> <b> Evidence date: </b> 2023-07-05 <br> <b> Evidence: </b> The colour markers on the toothpaste are not an indication of the ingredients or the formula of the toothpaste. These colour markers help during the manufacturing of toothpaste. Light beam sensors scan this colour code (markers) and feed the machines instructions where to cut, fold, and seal the toothpaste packet. These colour markers have nothing to do with the raw ingredients of the toothpaste. Hence, the claim made in the post is False.",True,False,False,True,True,0.5384615384615384,-0.5761019563868128,-0.9629765873198208,0.7862766098082905,False,True,True,False,0.0
checkyourfact_244_ret_b0_gn_Llama,"Claims that Irish poet and playwright Oscar Wilde once stated, ""Some cause happiness wherever they go; others whenever they go.""","A post on Facebook alleges that Irish poet and playwright Oscar Wilde once said, ""Some cause happiness wherever they go; others whenever they go."" [...] Wilde was a poet, novelist and playwright who featured prominently in the aestheticism movement, in which beauty was considered to be the primary purpose of art. Two of his best known works, the 1895 satirical play ""The Importance of Being Earnest"" and the 1891 philosophical novel ""The Picture of Dorian Gray,"" are both considered literary classics. [...] The expression, attributed to an anonymous author, appeared below an actual Wilde quote in a 1947 book called ""A Little Book of Aphorisms,"" according to the website Quote Investigator, though variations of the saying have appeared in print as early as 1908.",refutes,True,False,checkyourfact_244,0.0,40.52,True,False,False,0.1797752808988764,False,767,128,7.995469570159912,9.558032035827637,,,,,,,,,,,4.784293849979805e-08,0.0004815761349163,2.0642492870592846e-07,0.00247324234806,1.2946935385116376e-05,0.22794771194458,2.606160342111252e-05,0.2305040657520294,3.4347456676186994e-05,0.5076434016227722,checkyourfact,1.0,refutes,1.0,refutes,1.0,0.315814733505249,0.4799058437347412,0.194761261343956,0.2305040657520294,0.5076434016227722,0.22794771194458,DRUID,Llama,https://checkyourfact.com/2019/08/13/oscar-wilde-happiness-wherever-whenever/,True,Viral Quote,2019-06-17,2019-08-13,True,False,"<b> Claimant: </b> Viral Quote <br> <b> Claim date: </b> 2019-06-17 <br> <b> Claim: </b> Claims that Irish poet and playwright Oscar Wilde once stated, ""Some cause happiness wherever they go; others whenever they go."" <br> <b> Evidence date: </b> 2019-08-13 <br> <b> Evidence: </b> A post on Facebook alleges that Irish poet and playwright Oscar Wilde once said, ""Some cause happiness wherever they go; others whenever they go."" <br> <br> Wilde was a poet, novelist and playwright who featured prominently in the aestheticism movement, in which beauty was considered to be the primary purpose of art. Two of his best known works, the 1895 satirical play ""The Importance of Being Earnest"" and the 1891 philosophical novel ""The Picture of Dorian Gray,"" are both considered literary classics. <br> <br> The expression, attributed to an anonymous author, appeared below an actual Wilde quote in a 1947 book called ""A Little Book of Aphorisms,"" according to the website Quote Investigator, though variations of the saying have appeared in print as early as 1908.",True,False,False,False,True,0.8888888888888888,0.0412131818894017,-0.2701288404323344,0.0533318007016488,False,True,True,False,0.0
sciencefeedback_87_Llama,“5G plays a part in this ‘plandemic’” ... The cases of COVID-19 are “directly related to electromagnetic radiation exposure by 5G”,"The COVID-19 pandemic is caused by the virus SARS-CoV-2. There is no data demonstrating a causal link between 5G rollout in the world and the global COVID-19 pandemic. For example, 5G is not available in the hardest hit regions of France and Italy.",refutes,True,False,sciencefeedback_87,0.0,82.34,False,False,False,0.1521739130434782,False,248,130,9.280970573425291,9.20912265777588,2.177659098379081e-06,0.0330499932169914,3.051092608075124e-05,0.6862642168998718,1.0653488061507232e-05,0.2685650587081909,,,,,5.097795074959777e-09,1.7815053070080467e-05,1.4554073501926725e-08,6.65043480694294e-05,1.266487470275024e-05,0.0856605246663093,2.823230033754953e-06,0.0100405262783169,0.0001128186049754,0.8980815410614014,sciencefeedback,1.0,refutes,1.0,refutes,1.0,0.0330499932169914,0.6862642168998718,0.2685650587081909,0.0100405262783169,0.8980815410614014,0.0856605246663093,DRUID,Llama,https://science.feedback.org/review/the-spread-of-covid-19-is-not-related-in-any-way-to-the-deployment-of-5g/,False,Dee McLachlan,2020-05-04,2020-05-04,True,True,"<b> Claimant: </b> Dee McLachlan <br> <b> Claim date: </b> 2020-05-04 <br> <b> Claim: </b> “5G plays a part in this ‘plandemic’” ... The cases of COVID-19 are “directly related to electromagnetic radiation exposure by 5G” <br> <b> Evidence date: </b> 2020-05-04 <br> <b> Evidence: </b> The COVID-19 pandemic is caused by the virus SARS-CoV-2. There is no data demonstrating a causal link between 5G rollout in the world and the global COVID-19 pandemic. For example, 5G is not available in the hardest hit regions of France and Italy.",True,False,False,False,True,0.35,-0.6810436730737052,-0.6962018656888879,0.6751455701625481,False,True,True,False,0.0
checkyourfact_444_ret_b0_gn_Llama,"Claims that William Shakespeare said, ""All glory comes from daring to begin.""","FACT CHECK: Did Shakespeare Say, ‘All Glory Comes From Daring To Begin’? An image shared on Facebook claims that playwright William Shakespeare said, ""All glory comes from daring to begin."" The statement appears nowhere in Shakespeare’s writing. It actually comes from writer and politician Eugene Ware‘s 1889 poem.",refutes,True,False,checkyourfact_444,0.0,67.76,True,False,False,0.3076923076923077,False,315,77,16.18634033203125,26.472850799560547,,,,,,,,,,,2.733671067289833e-08,0.0001063900490407,4.535495747859386e-07,0.0032578043173998,9.366570338897873e-06,0.0742218494415283,1.2741796808768413e-06,0.0032605580054223,9.549583774060012e-05,0.9130527973175048,checkyourfact,1.0,refutes,1.0,refutes,1.0,0.1899784207344055,0.617120623588562,0.18194480240345,0.0032605580054223,0.9130527973175048,0.0742218494415283,DRUID,Llama,https://checkyourfact.com/2019/09/24/fact-check-william-shakespeare-glory-daring-begin/,False,Viral Quote,2019-09-08,2019-09-24,True,False,"<b> Claimant: </b> Viral Quote <br> <b> Claim date: </b> 2019-09-08 <br> <b> Claim: </b> Claims that William Shakespeare said, ""All glory comes from daring to begin."" <br> <b> Evidence date: </b> 2019-09-24 <br> <b> Evidence: </b> FACT CHECK: Did Shakespeare Say, ‘All Glory Comes From Daring To Begin’? An image shared on Facebook claims that playwright William Shakespeare said, ""All glory comes from daring to begin."" The statement appears nowhere in Shakespeare’s writing. It actually comes from writer and politician Eugene Ware‘s 1889 poem.",True,False,False,False,True,1.0,-0.5920639201500987,-0.982837219128268,0.7729122850715712,False,True,True,False,0.0
sciencefeedback_68_ret_bn_g0_Llama,Published studies show that COVID-19 mRNA vaccines cause metabolic cardiomyopathy and sudden cardiac death,"Misrepresents source: None of the three studies found that COVID-19 mRNA vaccines increase the risk of sudden death or metabolic cardiomyopathy, as McCullough claimed. One study of autopsies of vaccinated people clarified that none of the deaths were caused by the vaccine; another study was performed in people who showed no symptoms of heart problems and didn’t report any deaths, while the other study used very high doses of vaccine that aren’t comparable to doses used in vaccination. [...] During the interview, McCullough claimed that three studies—one from Krauson et al., another from Nakahara et al., and the other from Schreckenberg et al.—were evidence that the COVID-19 mRNA vaccines caused ""a form of metabolic cardiomyopathy"" that could explain ""sudden cardiac death""[1-3]. [...] The claim that these three studies point to COVID-19 mRNA vaccines causing ""metabolic cardiomyopathy"" and ""sudden cardiac death"" is baseless. As we explained above, McCullough’s statements about the studies misrepresent their findings or leave out important information that contradicts his claim. In fact, none of the studies found any association between COVID-19 mRNA vaccines and sudden cardiac death or metabolic cardiomyopathy. Other published studies have also found no association between COVID-19 vaccination and sudden death or an increase in all-cause mortality.",refutes,True,False,sciencefeedback_68,,51.07,False,False,False,0.1111111111111111,False,1368,106,7.66518497467041,10.376925468444824,,,,,,,,,,,5.759100751845381e-09,2.3757949747960083e-05,1.2345778088729278e-07,0.0008795171743258,1.4349352568387984e-05,0.1219657287001609,1.068058622877288e-06,0.0036546208430081,8.976200479082763e-05,0.8626132011413574,sciencefeedback,1.0,refutes,1.0,refutes,1.0,0.071492999792099,0.5838943719863892,0.3299516141414642,0.0036546208430081,0.8626132011413574,0.1219657287001609,DRUID,Llama,https://science.feedback.org/review/published-studies-misrepresented-peter-mccullough-false-claim-covid-vaccines-sudden-cardiac-death/,True,Peter McCullough,2023-10-27,2023-11-30,True,False,"<b> Claimant: </b> Peter McCullough <br> <b> Claim date: </b> 2023-10-27 <br> <b> Claim: </b> Published studies show that COVID-19 mRNA vaccines cause metabolic cardiomyopathy and sudden cardiac death <br> <b> Evidence date: </b> 2023-11-30 <br> <b> Evidence: </b> Misrepresents source: None of the three studies found that COVID-19 mRNA vaccines increase the risk of sudden death or metabolic cardiomyopathy, as McCullough claimed. One study of autopsies of vaccinated people clarified that none of the deaths were caused by the vaccine; another study was performed in people who showed no symptoms of heart problems and didn’t report any deaths, while the other study used very high doses of vaccine that aren’t comparable to doses used in vaccination. <br> <br> During the interview, McCullough claimed that three studies—one from Krauson et al., another from Nakahara et al., and the other from Schreckenberg et al.—were evidence that the COVID-19 mRNA vaccines caused ""a form of metabolic cardiomyopathy"" that could explain ""sudden cardiac death""[1-3]. <br> <br> The claim that these three studies point to COVID-19 mRNA vaccines causing ""metabolic cardiomyopathy"" and ""sudden cardiac death"" is baseless. As we explained above, McCullough’s statements about the studies misrepresent their findings or leave out important information that contradicts his claim. In fact, none of the studies found any association between COVID-19 mRNA vaccines and sudden cardiac death or metabolic cardiomyopathy. Other published studies have also found no association between COVID-19 vaccination and sudden death or an increase in all-cause mortality.",True,False,False,False,True,0.8571428571428571,-0.6303526836275181,-0.9488814170109562,0.6698271073273043,False,True,True,False,0.0
