,Argument,Debate,Scheme,id,evidence_stance_x,prediction_w_evidence,p_True_w_evidence,p__True_w_evidence,p_False_w_evidence,p__False_w_evidence,p_None_w_evidence,p__None_w_evidence,p_Support_w_evidence,p__Support_w_evidence,p_Refute_w_evidence,p__Refute_w_evidence,targeted_jaccard_sim,evidence_stance_y,prediction_wo_evidence,p_True_wo_evidence,p__True_wo_evidence,p_False_wo_evidence,p__False_wo_evidence,p_None_wo_evidence,p__None_wo_evidence,p_Support_wo_evidence,p__Support_wo_evidence,p_Refute_wo_evidence,p__Refute_wo_evidence,diff_p_None_scaled,diff_p_True_scaled,diff_p_False_scaled
0,Euthanasia can end unnecessary suffering.,Should euthanasia be legalized?,2,1,supports,True,0.0008258732268586,0.7746691703796387,0.0001276451075682,0.1187993660569191,1.3453695828502532e-05,0.0216349717229604,2.522565409890376e-07,2.051443516393192e-05,1.108337865929343e-08,2.547700887589599e-06,0.25,supports,True,0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.8338802456801101,0.0006208000569651514,2.3322415703602808e-07
1,"In situations of great chronic pain, euthanasia should be an option for patients.",Should euthanasia be legalized?,0,2,supports,False,0.0003106675867456,0.7558502554893494,4.581726898322813e-05,0.1123471111059188,1.453011736884946e-05,0.0498537309467792,8.05329420927592e-08,8.882082511263434e-06,7.203765139962571e-09,2.54475935435039e-06,0.75,supports,False,0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.820589111102187,0.00010548867466874815,-0.6404004314913091
2,Chronic pain changes a person's psychological state to the point where their decision process is so impaired that they cannot make a rational decision on euthanasia.,Should euthanasia be legalized?,3,3,refutes,"False.
None.
True.
False.
None.",0.0002829802979249,0.320176362991333,0.0002988867636304,0.2870042324066162,0.0001032924919854,0.1911860406398773,3.100477385942213e-07,2.1821095288032662e-05,7.221841258342465e-08,1.54734752868535e-05,0.25,refutes,"True.
True.
False.
None.

None.",0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,2.2306363751891258e-05,7.77957032348458e-05,0.00017149670122649819
3,Less than 33% of patients requesting euthanaisa experience inadequate pain control.,Should euthanasia be legalized?,4,4,insufficient-neutral,False,0.0002925949520431,0.3336513042449951,0.0003816157695837,0.3962207436561584,3.662255403469317e-05,0.0732934698462486,2.851315912266728e-07,2.4017655960051343e-05,4.2381028464433264e-08,1.2171556591056287e-05,0.0,insufficient-neutral,True,0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.5478023469267571,8.741233069036971e-05,0.0002542362491838947
4,"Some doctors have argued that patients suffering from ""treatement-resistant"" depression should be allowed to elect for euthanasia.",Should euthanasia be legalized?,4,5,supports,"False.
None.
The question is whether euthanas",0.000224636591156,0.5422847270965576,0.0001020457712002,0.2058280706405639,4.8962094297166914e-05,0.1553671807050705,6.420512477234297e-08,5.623667220788775e-06,1.3353393057968788e-08,3.746170023077866e-06,0.75,supports,False,0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.3954396487542738,1.9440021847538644e-05,-0.19908767794166618
5,"Much of the suffering of those who request euthanasia, can be relieved simply with better palliative care.",Should euthanasia be legalized?,6,6,refutes,"False.
Wait, but the user is asking if",0.0005423692637123,0.3635817766189575,0.0006856189575046,0.4454697072505951,3.867997656925581e-05,0.0427504293620586,2.13547338034914e-07,1.0995757293130737e-05,4.727804636672772e-08,7.676275345147587e-06,0.5,refutes,"False.
Okay, let's see. The user",0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.5223982847024818,0.00033723790670727393,0.0005582781756683187
6,To let someone suffer until death is just as bad as murder.,Should euthanasia be legalized?,7,7,supports,"True.

True.
The argument that ""to let",0.0006397738470695,0.5637491941452026,0.0004228646575938,0.3314110338687897,1.7590602510608733e-05,0.0251594725996255,1.8214581132269814e-07,1.237653395946836e-05,1.7209000446882783e-08,3.518341827657423e-06,0.0,supports,"True.
Okay, let's see. The user",0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.7827997150633952,0.00043466248164165353,0.00029549039346344176
7,It could be considered to be worse than murder since it is torturing for a long time when murder stops life and automatically with it all pain and any more suffering.,Should euthanasia be legalized?,1,8,refutes,True,0.0004809763340745,0.4618546962738037,0.0005080122500658,0.3828909695148468,3.1723830034025013e-05,0.0443228483200073,1.6843368655372617e-07,1.0139545338461176e-05,3.530561798470444e-08,7.835232281649951e-06,0.25,refutes,"True.
I think the answer is False.
I",0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.6082894307619593,0.00027583237662041053,0.0003806488361355414
8,"The people most likely to be considered as candidates for euthanasia are those least likely to be able to speak for themselves (e.g. dementia, brain damage, neurodegenerative disorders).",Should euthanasia be legalized?,0,9,refutes,False,0.0003378860128577,0.4539914429187774,0.0002395970805082,0.2318761348724365,8.476613584207371e-05,0.1363129615783691,1.2644898106373148e-07,7.291951078514103e-06,3.7524539919786555e-08,7.582429134345148e-06,0.5,refutes,,0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,3.7785070757168692e-06,0.00013271268716341425,0.00011219946292972365
9,Safeguards would likely be put in place.,Should euthanasia be legalized?,3,10,supports,"False.
The given question is ""Should euthanas",7.092327723512426e-05,0.1122839525341987,0.0006676647462882,0.8168095350265503,9.3760745585314e-06,0.0288369040936231,5.096161714845948e-08,5.9597955441859085e-06,5.695443672237843e-09,1.681037588241452e-06,0.25,supports,"True.
False.
None.
The question of whether",0.0002052005584118,0.4440423846244812,0.0001274119131267,0.2490852028131485,8.098793477984145e-05,0.2164089679718017,2.9955465663533694e-08,2.792990244415705e-06,8.785910665665142e-09,2.623771706566913e-06,-0.8842287485905224,-0.6543709345430035,0.0005403216765800168
