id,claim_length
0,46
1,43
2,41
3,43
4,42
5,57
6,46
7,43
8,47
9,45
10,45
11,49
12,42
13,50
14,50
15,42
16,44
17,47
18,42
19,43
20,47
21,62
22,49
23,45
24,48
25,45
26,56
27,42
28,47
29,44
30,43
32,61
33,41
34,45
35,42
36,46
37,46
38,64
39,73
40,47
41,49
42,42
43,50
44,44
45,48
46,43
47,48
48,48
49,74
50,60
51,46
52,44
53,50
54,51
55,44
56,42
57,45
58,41
59,44
60,40
61,46
62,47
63,44
64,46
65,41
66,48
67,44
68,53
69,42
70,49
71,42
72,46
73,52
74,45
75,45
76,44
77,48
78,41
79,39
80,41
81,44
82,40
83,48
84,40
85,41
86,46
87,42
88,48
89,49
90,47
91,43
92,44
93,43
94,47
95,46
96,44
97,45
98,44
99,43
100,49
101,45
102,56
103,45
104,49
105,44
106,47
107,47
108,41
109,43
110,51
111,50
112,47
113,47
114,65
115,45
116,47
117,45
118,47
119,46
120,45
121,53
122,47
123,39
124,42
125,50
126,49
127,43
128,41
129,42
130,42
131,41
132,45
133,40
134,41
135,49
136,53
137,39
138,46
139,42
140,43
141,44
142,48
143,52
144,42
145,62
146,51
147,72
148,45
149,50
150,64
151,48
152,48
153,44
154,51
155,44
156,45
157,44
158,45
159,49
160,45
161,54
162,44
163,44
164,44
165,43
166,52
167,46
168,46
169,47
170,41
171,44
172,47
173,44
174,48
175,40
176,41
177,61
178,41
179,44
180,54
181,45
182,43
183,41
184,55
185,54
186,60
187,42
188,49
189,47
190,68
191,47
192,53
193,39
194,47
195,46
196,80
197,77
198,82
199,81
200,79
201,86
202,84
203,86
204,86
205,83
206,79
207,75
208,83
209,81
210,85
211,84
212,83
213,82
214,82
215,84
216,92
217,86
218,91
219,88
220,89
221,84
222,90
223,88
224,87
225,87
226,77
227,79
228,82
229,87
230,79
231,96
232,89
233,93
234,97
235,95
236,79
237,67
238,79
239,73
240,75
241,85
242,89
243,82
244,89
245,87
246,66
247,67
248,68
249,70
250,67
251,65
252,65
253,75
254,67
255,64
256,124
257,129
258,119
259,126
260,119
261,91
262,96
263,90
264,100
265,94
266,77
267,76
268,79
269,76
270,75
271,97
272,95
273,92
274,91
275,97
276,99
277,96
278,104
279,93
280,95
281,108
282,111
283,113
284,109
285,107
286,81
287,78
288,75
289,86
290,78
291,74
292,82
293,77
294,80
295,79
296,77
297,81
298,78
299,85
300,78
301,106
302,102
303,104
304,98
305,117
306,82
307,79
308,80
309,80
310,79
311,89
312,90
313,93
314,89
315,92
316,105
317,103
318,112
319,108
320,106
321,93
322,88
323,86
324,91
325,89
326,71
327,81
328,77
329,73
330,72
331,91
332,87
333,89
334,88
335,89
336,88
337,91
338,89
339,93
340,94
341,89
342,90
343,91
344,90
345,89
346,80
347,78
348,79
349,82
350,74
351,90
352,87
353,84
354,83
355,84
356,95
357,100
358,98
359,102
360,99
361,96
362,92
363,100
364,97
365,98
366,103
367,99
368,99
369,114
370,94
371,116
372,113
373,128
374,114
375,114
376,122
377,126
378,122
379,122
380,122
381,75
382,70
383,77
384,77
385,76
386,90
387,91
388,87
389,89
390,89
391,88
392,89
393,82
394,88
395,86
396,69
397,66
398,69
399,65
400,69
401,106
402,106
403,108
404,110
405,105
406,65
407,64
408,65
409,72
410,62
411,72
412,72
414,77
415,71
416,77
417,77
418,75
419,74
420,70
421,80
422,70
423,78
424,88
425,84
426,87
427,83
428,92
429,95
430,92
431,93
432,86
433,91
434,99
435,97
436,95
437,89
438,86
439,84
440,88
441,96
442,97
443,96
444,105
445,106
446,110
447,113
448,93
449,102
450,101
451,91
452,86
453,82
454,77
455,93
456,125
457,112
458,117
459,124
460,123
461,69
462,72
463,69
464,67
465,69
466,89
467,77
468,76
469,88
470,75
471,88
472,92
473,95
474,92
475,93
476,115
477,113
478,124
479,115
480,117
481,136
482,133
483,137
484,149
485,132
486,97
487,97
488,101
489,105
490,96
491,128
492,129
493,127
494,130
495,129
496,141
497,139
498,144
499,137
500,137
501,148
502,151
503,161
504,150
505,148
506,116
507,124
508,114
509,118
510,128
511,128
512,128
513,134
514,128
515,131
516,133
517,137
518,131
519,132
520,138
521,127
522,125
523,123
524,128
525,125
526,115
527,112
528,112
529,116
530,113
531,147
532,150
533,147
534,149
535,147
536,130
537,128
538,126
539,138
540,138
541,112
542,114
543,108
544,113
545,114
546,119
547,121
548,123
549,111
550,118
551,135
552,137
553,133
554,132
555,136
556,132
557,137
558,134
559,132
560,130
561,123
562,122
563,122
564,118
565,120
566,114
567,110
568,117
569,123
570,114
571,140
572,139
573,137
574,138
575,145
576,102
577,104
578,111
579,100
580,100
581,128
582,124
583,124
584,125
585,140
586,116
587,126
588,121
589,122
590,129
591,132
592,133
593,134
594,133
595,133
596,116
597,116
598,116
599,128
600,112
601,84
602,88
603,81
604,86
605,86
606,107
607,104
608,104
609,110
610,105
611,103
612,112
613,106
614,104
615,106
616,97
617,93
618,109
619,96
620,93
621,114
622,108
623,111
624,115
625,111
626,83
627,97
628,95
629,86
630,89
631,100
632,106
633,101
634,102
635,100
636,105
637,106
638,108
639,106
640,105
641,87
642,89
643,90
644,88
645,88
646,84
647,88
648,89
649,90
650,84
651,85
652,100
653,90
654,100
655,84
656,102
657,104
658,102
659,106
660,102
661,97
662,109
663,103
664,114
665,105
666,102
667,99
668,97
669,99
670,98
671,91
672,91
673,98
674,92
675,82
676,75
677,82
678,79
679,80
680,80
681,98
682,98
683,87
684,85
685,86
686,108
687,108
688,112
689,100
690,106
691,111
692,119
693,115
694,124
695,117
696,117
697,118
698,124
699,128
700,113
701,92
702,87
703,85
704,95
705,86
706,99
707,96
708,100
709,96
710,101
711,97
712,101
713,101
714,102
715,98
716,98
717,98
718,95
719,95
